graph_type,method,repetition,dimension,depth,sparsity,correlation,observed_fraction,observation_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate
layered,rw_mh,1,40,4,0.4,1.0,0.25,uniform,10,30,0.009846083004958928,8.166032349767415,3.63332696011815,19.473218460110516,0.1540203891943817,3.312132366091512,33.40727600073846,0.0024
layered,single_site_gibbs,1,40,4,0.4,1.0,0.25,shallow,10,30,0.12919879198307171,105.31241941650373,30.4658121698753,338.4761538564604,0.24424275695503395,1.1300722609824367,17.183287405541385,
layered,block_gibbs,1,40,4,0.4,1.0,0.25,shallow,10,30,0.4574451249791309,138.27028064432503,54.36732185914269,375.0073536355343,0.16094750638744673,0.6951097117228855,11.41040230304097,
layered,rw_mh,1,40,4,0.4,1.0,0.25,shallow,10,30,0.009938750008586794,9.1696877539726,3.045454974317589,24.960168849902807,0.9772872919284825,3.732424544458893,41.133685015699086,0.026
layered,single_site_gibbs,1,40,4,0.45,1.0,0.25,deep,10,30,0.1294309579534456,192.23735113998873,36.64196734802322,1000.0,0.32445830207537985,0.49223194102337037,6.24157324927026,
layered,block_gibbs,1,40,4,0.45,1.0,0.25,deep,10,30,0.46372895798413083,214.97254720311895,47.276588114515356,1000.0,0.10744048123252964,0.29595375050553535,4.914081666574693,
layered,rw_mh,1,40,4,0.45,1.0,0.25,deep,10,30,0.010172082984354347,7.981879190527104,3.092948425083431,14.760260905847787,0.5422828492586078,2.9543812082664296,29.65811728951533,0.0052
layered,single_site_gibbs,1,40,4,0.45,1.0,0.25,uniform,10,30,0.12725270801456645,207.58504979150223,57.17584755955305,967.4392718095895,0.12929778341259807,0.30697738362179905,4.3953536499537655,
layered,block_gibbs,1,40,4,0.45,1.0,0.25,uniform,10,30,0.4663995409500785,281.70937714379863,42.45555790426769,1000.0,0.11531002518369704,0.37245348224303126,3.976082810119167,
layered,rw_mh,1,40,4,0.45,1.0,0.25,uniform,10,30,0.009991415950935334,7.506016504752874,3.428658488025361,19.643033984087943,0.40554076728713495,2.2483527976127635,22.233543188702164,0.0052
layered,single_site_gibbs,1,40,4,0.45,1.0,0.25,shallow,10,30,0.1293436250416562,154.1932935217068,22.98807814291326,1000.0,0.24658877214076708,0.7713568962994358,10.552972109535364,
layered,block_gibbs,1,40,4,0.45,1.0,0.25,shallow,10,30,0.45813516702037305,160.48904526845718,31.871175376008384,813.3556816754996,0.2674314970428028,0.3936320240915063,5.746056712149978,
layered,rw_mh,1,40,4,0.45,1.0,0.25,shallow,10,30,0.009976250003091991,6.465191717759662,3.0697196961100834,15.715619512822101,0.7526567076504675,4.084538178284312,42.28527225504961,0.0048
layered,single_site_gibbs,1,40,4,0.5,1.0,0.25,deep,10,30,0.12837370805209503,177.96719480028648,48.662790505004935,659.9326794188496,0.09947007075278996,0.16781134421701613,3.4675398241645286,
layered,block_gibbs,1,40,4,0.5,1.0,0.25,deep,10,30,0.4642098750337027,219.05205299663345,51.6129174388392,690.5405997525289,0.12691646317918848,0.19313187501482965,3.6231515967245973,
layered,rw_mh,1,40,4,0.5,1.0,0.25,deep,10,30,0.009912666981108487,1.332445036642239,1.3324450366422385,1.3324450366422385,2.5284079313073244e-14,3.0741161013206764,28.49943123716892,0.0
layered,single_site_gibbs,1,40,4,0.5,1.0,0.25,uniform,10,30,0.12805800000205636,191.2093111707448,39.69465920261665,1000.0,0.4016686608095577,0.44329557092620253,5.929514944863712,
layered,block_gibbs,1,40,4,0.5,1.0,0.25,uniform,10,30,0.4630637079826556,248.63791844278114,52.033087899824096,1000.0,0.3170629319001734,0.4958790252930243,7.432517345493443,
layered,rw_mh,1,40,4,0.5,1.0,0.25,uniform,10,30,0.009864208986982703,1.332445036642239,1.3324450366422385,1.3324450366422385,4.2123759678798015e-14,3.7563852883304367,39.415154632979,0.0
layered,single_site_gibbs,1,40,4,0.5,1.0,0.25,shallow,10,30,0.12755858298623934,92.07509331780632,27.15926627872025,475.5979012784385,0.3585824826961312,0.5758505880025784,11.048639396368008,
layered,block_gibbs,1,40,4,0.5,1.0,0.25,shallow,10,30,0.45946925005409867,111.90216931244981,40.21169226008751,345.3854388935873,0.10872261396874354,0.3807858477791327,8.209934538889344,
layered,rw_mh,1,40,4,0.5,1.0,0.25,shallow,10,30,0.010243500000797212,1.332445036642239,1.3324450366422385,1.3324450366422385,4.969186166427348e-14,4.994049826863418,50.27908947530687,0.0
layered,single_site_gibbs,1,40,4,0.55,1.0,0.25,deep,10,30,0.12875508301658556,196.6120272765492,71.6329407682264,713.5237621203298,0.12235897056878794,0.10173525957221814,2.3164628877689637,
layered,block_gibbs,1,40,4,0.55,1.0,0.25,deep,10,30,0.469984834024217,274.74388315552073,75.36459036631352,1000.0,0.11089337461321286,0.12210016255415121,2.049081550464448,
layered,rw_mh,1,40,4,0.55,1.0,0.25,deep,10,30,0.009852416987996548,1.332445036642239,1.3324450366422385,1.3324450366422385,4.646860050464936e-14,2.004663377495761,18.885530837832974,0.0
layered,single_site_gibbs,1,40,4,0.55,1.0,0.25,uniform,10,30,0.1291904160170816,100.03731004079557,29.313650453333793,328.56097253736846,0.25827600698547304,0.6917596085562083,11.018730912503099,
layered,block_gibbs,1,40,4,0.55,1.0,0.25,uniform,10,30,0.4581261249841191,123.01419342851808,36.891525735019066,363.5003347282131,0.33438297849351256,0.7012255099240937,11.53831660800225,
layered,rw_mh,1,40,4,0.55,1.0,0.25,uniform,10,30,0.010179958015214652,6.734590103513062,3.929941621207718,15.803423354817943,0.13748115752554993,4.872827058029078,51.71318040747109,0.0008
layered,single_site_gibbs,1,40,4,0.55,1.0,0.25,shallow,10,30,0.12802941602421924,77.12488365552714,27.87501715468707,352.0143308032215,0.2887110682084875,0.905299120533881,14.748723386311125,
layered,block_gibbs,1,40,4,0.55,1.0,0.25,shallow,10,30,0.4639878749730997,61.149875501813575,16.884459008521954,206.82107511485668,0.2998526138039041,1.3127592639346037,27.080775558975812,
layered,rw_mh,1,40,4,0.55,1.0,0.25,shallow,10,30,0.00997441599611193,1.332445036642239,1.3324450366422385,1.3324450366422385,4.172738074196769e-14,7.052449753563188,65.46863236267579,0.0
layered,single_site_gibbs,1,40,4,0.6,1.0,0.25,deep,10,30,0.1305542080081068,84.91558846523526,18.64551041641971,559.2862016875486,0.9030259266078088,1.1631724445169331,15.040022588262303,
layered,block_gibbs,1,40,4,0.6,1.0,0.25,deep,10,30,0.4707726670312695,219.06136283877873,37.92397121354742,715.6884654798667,0.34456557338875843,2.168560281257766,22.40012284423222,
layered,rw_mh,1,40,4,0.6,1.0,0.25,deep,10,30,0.010219833988230675,19.286839409473707,19.2868394094656,19.286839409478848,0.4778406456193523,5.47561733734378,52.59769450540387,0.0004
layered,single_site_gibbs,1,40,4,0.6,1.0,0.25,uniform,10,30,0.1273272079997696,150.27088737913684,49.72809376158797,621.7495085596119,0.4749561305901395,0.745259942944568,10.833090134636663,
layered,block_gibbs,1,40,4,0.6,1.0,0.25,uniform,10,30,0.4573587500490248,154.84377084160622,26.185773512699623,616.0031439708885,0.20408355595106098,0.31534560365930925,5.30390746875865,
layered,rw_mh,1,40,4,0.6,1.0,0.25,uniform,10,30,0.009940291987732053,5.396958083159153,2.943900618153306,18.026172536336066,0.23250961882940685,3.94859589055045,38.095180514176874,0.0016
