graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,block_size,runtime_seconds,ess_mean,ess_per_second,mean_rmse,variance_rmse,covariance_frobenius_error,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,deep,4,0.07564893699998265,221.76917123806822,2931.557005726585,0.0429569677427828,0.08302222613154803,1.676484416353235,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.18632918379089553,0.8136708162091044,12,3.0,4,0.770687436965623,0.030683477834308883,0.04021042424925125
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,deep,8,0.033443229999988944,231.67438803060546,6927.392719862347,0.07488421187138916,0.08864006920803524,1.6969777572265965,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.22526585133082802,0.774734148669172,5,7.2,8,0.7432423100996133,0.05957520689058631,0.05926662913642989
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,deep,8,0.036409600999945724,251.28990885244215,6901.748493558519,0.054749700082534235,0.08033903170967155,1.6041365537106709,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.23401913342060784,0.7659808665793921,5,7.2,8,0.7853743556691946,0.039903542613595584,0.04512531643696016
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,deep,8,0.04616419000001315,218.6993358230243,4737.423873850316,0.08861921780320413,0.0742778197948454,1.8973168961259625,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.3360273459945981,0.6639726540054018,7,5.142857142857143,8,0.7663330847562335,0.0659952713357677,0.04879115543871594
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,deep,12,0.02222705600001973,297.23783493143196,13372.793721812197,0.06352563745113804,0.05972170217584535,1.4301954239649566,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.4054763891021649,0.5945236108978351,3,12.0,12,0.6738358406308572,0.04641958976774476,0.021666362913470613
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,deep,12,0.021324437999965085,275.60369751032516,12924.312355184995,0.07351669273590665,0.06331146892889189,1.40471524729269,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.3258316268412376,0.6741683731587624,3,12.0,12,0.690852885442502,0.0543798570730434,0.02540183249444314
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,deep,12,0.021558654000045863,305.67242688131404,14178.641527465665,0.07406323765267883,0.10025299105201335,1.669229280910962,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.4812359268191147,0.5187640731808854,3,12.0,12,0.6674262340589928,0.047444105019142646,0.06291582094094555
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,deep,16,0.02448357900004794,283.8348608319523,11592.866420035916,0.09364309099046812,0.08767111812366511,1.567467437055654,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.4648554164613629,0.535144583538637,3,12.0,16,0.705511492772498,0.07305759568219931,0.03773956812823229
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,deep,16,0.022530595000034737,256.97778026071984,11405.72542626254,0.08832981530514143,0.06448887485189451,1.5498933842691731,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.33332636660344056,0.6666736333965595,3,12.0,16,0.7470676215347992,0.06731402328522172,0.022108433294866142
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,deep,16,0.03302628799997365,296.395193369033,8974.523366636588,0.06006193894973342,0.07960259666324931,1.6110792396965101,51.75039001035694,0.11687814449399547,0.6559995104347767,0.43174603174603177,0.5024676488067452,0.4975323511932548,4,9.0,16,0.6879216569187043,0.04464318352013855,0.03916856096839245
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,uniform,2,0.111900879000018,190.09850715283193,1698.811562979781,0.07524562443257234,0.09067198972445356,2.0976750723171826,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.013497031671261903,0.9865029683287381,18,2.0,2,0.8167732328511477,0.06235938417525444,0.045199642097304614
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,uniform,2,0.11526312700004837,208.10852587138578,1805.5082426429265,0.11383760402294861,0.16169653991448263,2.379148993259964,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.016698021208205203,0.9833019787917948,18,2.0,2,0.807282138277899,0.09843246128114837,0.12019474397708563
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,uniform,2,0.12426803000005293,237.9940692107996,1915.1673138352498,0.04647394967524484,0.08494867257759564,1.9452401325816733,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.17733504962457625,0.8226649503754238,19,1.894736842105263,2,0.8121260786390925,0.03435645389506026,0.06649832770993296
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,uniform,4,0.058203638999998475,195.03733769208694,3350.9474844363604,0.06250495449678514,0.10195607696532985,2.237943264968505,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.11822293226935628,0.8817770677306437,9,4.0,4,0.7972585361541685,0.0556764088491656,0.07009848716599347
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,uniform,4,0.06331315500005985,198.36411737883915,3133.0632216740996,0.07532971864022377,0.1337541073721032,2.2875818457534,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.10711176133116504,0.8928882386688349,9,4.0,4,0.7964635735510954,0.05923334500589615,0.10563145463097695
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,uniform,4,0.07179999499999212,230.37848145016062,3208.6141712152753,0.05361395859457081,0.07511913366202479,1.8434988057289077,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.22073353157558756,0.7792664684244124,11,3.272727272727273,4,0.7759279534055895,0.042206571450710315,0.044095958418677854
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,uniform,8,0.03378520600006141,197.89337465088636,5857.397307286707,0.06764487917282633,0.09700535028764633,1.8121142560098422,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.2629478016860566,0.7370521983139434,5,7.2,8,0.756225855597097,0.050385635979957946,0.05609576018864546
