graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,initial_state_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,ess_per_second,weighted_ess,weighted_ess_fraction,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,n_edges,graph_density,empirical_depth,observed_mean_depth,observed_mean_descendants,observed_mean_children,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
layered,mala_diag,0,36,4.0,,0.15,0.3,0.4,uniform,prior,14,22,0.0214697179999348,43.659319210127826,14.257322763494535,61.1807223676568,2033.5301660813807,,,0.19165950601290027,0.1262177252384345,2.3956110229678154,0.9157142857142857,2.96258417466255,0.016796725026560315,0.2762169369386229,0.07792207792207792,36,0.05714285714285714,4,1.1428571428571428,3.142857142857143,0.9285714285714286,,,,,,,,
layered,likelihood_weighting_sis,0,36,4.0,,0.15,0.3,0.4,uniform,prior,14,22,0.0014478770000323493,369.8368507300854,369.8368507300854,369.8368507300854,255433.88749308285,369.8368507300854,0.7396737014601709,0.058834200222782164,0.05843920394689475,1.200914140577547,,2.96258417466255,0.016796725026560315,0.2762169369386229,0.07792207792207792,36,0.05714285714285714,4,1.1428571428571428,3.142857142857143,0.9285714285714286,,,,,,,,
layered,single_site_gibbs,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.04259893500000089,440.97587006971423,257.6815767528513,500.0,10351.805040893745,,,0.041337370227436394,0.06822642285648432,1.1868616888880348,,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,0.0,1.0,22.0,1.0,1.0,0.1466068980482541,,
layered,block_depth,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.02001057999996192,448.4270120713511,306.5917488475373,500.0,22409.49598023668,,,0.03319247292822323,0.07105645322324437,0.9756548786568362,,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,0.006931722835639353,0.9930682771643606,4.0,5.5,7.0,0.14660689804825405,0.004689470027158051,0.0027261663603610903
layered,block_topological,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.01637707500003671,462.917182947953,287.1092436204508,500.0,28266.169810354735,,,0.049128852535683006,0.05921187979997824,1.0816840755590738,,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,0.36855395138175623,0.6314460486182438,3.0,7.333333333333333,8.0,0.10174431155937966,0.008191159385585279,0.002136357648746521
layered,block_random,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.015096720999963509,452.7960647313368,292.98702492012825,500.0,29993.007404219188,,,0.03323354617369003,0.05223582172318253,0.9899487479879867,,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,0.5254751951907669,0.4745248048092331,3.0,7.333333333333333,8.0,0.0694373721708195,0.004981417995235366,0.0016418697616720024
layered,block_precision_bfs,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.04776362600000539,463.85928405141755,274.67583935610753,500.0,9711.559253298006,,,0.05230954543699557,0.06735275054860082,1.0686816906812502,,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,1.0,0.0,10.0,2.2,5.0,0.0,1.5525490683413863e-15,6.1181430239042895e-15
layered,rw_mh,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.004712001000029886,12.452075288103078,4.936564525212785,44.89279531303374,2642.630018122683,,,0.45160438882521386,0.39479797086889645,5.650629725448251,0.3585714285714286,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,,,,,,,,
layered,mala_diag,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.019576467999968372,37.22952885629775,17.43480035536483,64.7454511940532,1901.7490211389459,,,0.17205655216394333,0.15012897919846013,2.631773123806369,0.92,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,,,,,,,,
layered,likelihood_weighting_sis,0,36,4.0,,0.15,0.3,0.4,shallow,prior,14,22,0.0014052149999770336,437.4851455879634,437.4851455879634,437.4851455879634,311329.6866281057,437.4851455879634,0.8749702911759268,0.055735616141392295,0.07702365877408447,1.1736448584245474,,2.248232949721347,0.011037539623111966,0.2635097193099707,0.05194805194805195,36,0.05714285714285714,4,0.7142857142857143,4.428571428571429,1.5,,,,,,,,
