observation_strategy,method,dimension,ess_mean_mean,ess_mean_std,n_runs
shallow,rw_mh,60,3.5517062698941437,7.017920219990226,10
shallow,rw_mh,65,3.3705420875878667,6.445028773460414,10
shallow,rw_mh,70,5.1734740941936135,8.097600253834877,10
shallow,rw_mh,75,3.115779956219663,5.639400176777864,10
shallow,rw_mh,80,2.9968909615811676,5.26344016499267,10
shallow,rw_mh,85,12.255371419053962,10.532019153981913,10
shallow,rw_mh,90,7.206960065838459,14.188301748205747,10
shallow,single_site_gibbs,40,129.99618684030625,39.358664730078736,10
shallow,single_site_gibbs,45,99.73708056990658,31.690500592116805,10
shallow,single_site_gibbs,50,84.77036561213976,27.334896238652348,10
shallow,single_site_gibbs,55,73.5799196106361,19.48748990701821,10
shallow,single_site_gibbs,60,63.42500282136599,16.80165339799819,10
shallow,single_site_gibbs,65,54.328040370874234,17.93444373228419,10
shallow,single_site_gibbs,70,50.78717500718379,13.960047173670874,10
shallow,single_site_gibbs,75,44.576573257584215,17.901246766035733,10
shallow,single_site_gibbs,80,36.54903879719994,8.289870888638648,10
shallow,single_site_gibbs,85,30.300336620847457,8.800942412845234,10
shallow,single_site_gibbs,90,28.1090112562905,9.147265693066451,10
uniform,block_gibbs,40,248.11430977441364,79.42221152395854,10
uniform,block_gibbs,45,219.1700356965899,66.72301157225809,10
uniform,block_gibbs,50,164.17814378259374,40.70421102739082,10
uniform,block_gibbs,55,177.0577911134422,63.776736015715464,10
uniform,block_gibbs,60,160.11019380974457,44.60284748623771,10
uniform,block_gibbs,65,125.71014572853264,48.098436105510125,10
uniform,block_gibbs,70,120.40667099926858,38.69612093746983,10
uniform,block_gibbs,75,87.71406866096669,35.74543035482955,10
uniform,block_gibbs,80,101.30764113114358,36.03811997220613,10
uniform,block_gibbs,85,88.1186408123773,31.660893958946506,10
uniform,block_gibbs,90,64.87421040194471,22.23879799968378,10
uniform,rw_mh,40,13.41460544114818,14.956061457354119,10
uniform,rw_mh,45,10.144217580436571,14.188301748205747,10
uniform,rw_mh,50,9.216662575826641,17.738137522495855,10
uniform,rw_mh,55,6.203994085243983,10.270127151205212,10
uniform,rw_mh,60,5.770967503146048,9.357226959986969,10
uniform,rw_mh,65,5.408639138533494,8.59337169794722,10
uniform,rw_mh,70,3.252959565417926,6.073200190376158,10
uniform,rw_mh,75,8.465784714951935,12.469182952690721,10
uniform,rw_mh,80,4.661336886520097,7.017920219990227,10
uniform,rw_mh,85,6.013699200532978,7.537535303734304,10
uniform,rw_mh,90,5.738331308539404,7.0941508741028745,10
uniform,single_site_gibbs,40,203.1655899555797,67.1392384401106,10
uniform,single_site_gibbs,45,172.85953428080217,44.70392911365667,10
uniform,single_site_gibbs,50,134.53501837813133,39.69436803996494,10
uniform,single_site_gibbs,55,132.7961506239301,41.674752826372945,10
uniform,single_site_gibbs,60,114.69837035548821,28.536277127162446,10
uniform,single_site_gibbs,65,93.21055239625065,34.146228798068215,10
uniform,single_site_gibbs,70,96.5890977229295,15.333151400839425,10
uniform,single_site_gibbs,75,66.15596712511397,25.46352020023779,10
uniform,single_site_gibbs,80,75.5043645204362,30.016936086376294,10
uniform,single_site_gibbs,85,63.32081590896969,11.728681989899211,10
uniform,single_site_gibbs,90,48.538314349307356,11.901617430813703,10
