observation_strategy,method,dimension,mean_rmse_mean,mean_rmse_std,n_runs
shallow,block_gibbs,65,0.4068322941260488,0.18479943972697715,10
shallow,block_gibbs,70,0.869230959931264,0.5012263671939414,10
shallow,block_gibbs,75,0.5231369849042476,0.21846547594549764,10
shallow,block_gibbs,80,0.9036024171306695,0.5963383062613757,10
shallow,block_gibbs,85,1.2038804909546417,0.9487862856623056,10
shallow,block_gibbs,90,1.1329813367713233,0.4342376525860273,10
shallow,rw_mh,40,0.13966786045216126,0.19359343173608953,10
shallow,rw_mh,45,0.024840051352655525,0.07855113946982088,10
shallow,rw_mh,50,3.585228066660375e-14,1.6529958398121982e-14,10
shallow,rw_mh,55,4.038565715432365e-14,1.6424964598315347e-14,10
shallow,rw_mh,60,5.149607092797334e-14,2.3472372133321515e-14,10
shallow,rw_mh,65,5.4129777189240046e-14,1.8425939680985037e-14,10
shallow,rw_mh,70,6.559381527970019e-14,2.559267090838182e-14,10
shallow,rw_mh,75,6.734179213568873e-14,2.8880254468659156e-14,10
shallow,rw_mh,80,8.242376131131425e-14,2.5615216751277564e-14,10
shallow,rw_mh,85,7.685925540184585e-14,1.8738833529557882e-14,10
shallow,rw_mh,90,7.190658802534747e-14,2.6247719032988035e-14,10
shallow,single_site_gibbs,40,0.2512891210504772,0.13738805862371103,10
shallow,single_site_gibbs,45,0.2593528383584451,0.17214504301353764,10
shallow,single_site_gibbs,50,0.3961360703351819,0.2019070344008178,10
shallow,single_site_gibbs,55,0.46008597996945866,0.22258888606292876,10
shallow,single_site_gibbs,60,0.42612951086047934,0.17721423868446995,10
shallow,single_site_gibbs,65,0.5934980897223223,0.3487521573700423,10
shallow,single_site_gibbs,70,0.569629906991782,0.3306998233212179,10
shallow,single_site_gibbs,75,0.6811821326251223,0.4354342203699795,10
shallow,single_site_gibbs,80,0.6076602315816155,0.3475637148724123,10
shallow,single_site_gibbs,85,0.912062358323196,0.5972758207199749,10
shallow,single_site_gibbs,90,1.0451834356964125,0.5233226218851047,10
uniform,block_gibbs,40,0.1145862749783317,0.04225180348935131,10
uniform,block_gibbs,45,0.12880506082516072,0.05046608628258766,10
uniform,block_gibbs,50,0.2996102993983231,0.20715733311150183,10
uniform,block_gibbs,55,0.1699685161324706,0.18117577120424116,10
uniform,block_gibbs,60,0.27755806908472336,0.11437560359302516,10
uniform,block_gibbs,65,0.4407208488371852,0.438653787231904,10
uniform,block_gibbs,70,0.32835729303853267,0.21510232403392676,10
uniform,block_gibbs,75,0.4261987325899974,0.15879167536229505,10
uniform,block_gibbs,80,0.40446671963107556,0.2035670811756929,10
uniform,block_gibbs,85,0.4884824523224722,0.25839095815350593,10
uniform,block_gibbs,90,0.6846962877130327,0.28987815370537495,10
uniform,rw_mh,40,0.09605924281890911,0.17187783221494593,10
uniform,rw_mh,45,3.304352014819825e-14,1.481014398454063e-14,10
uniform,rw_mh,50,2.8065232826581937e-14,1.1817707563967852e-14,10
uniform,rw_mh,55,3.568629601285369e-14,2.0729508534487564e-14,10
uniform,rw_mh,60,4.988877923125202e-14,2.3239179359444396e-14,10
uniform,rw_mh,65,4.988566821471185e-14,1.4107472283492753e-14,10
uniform,rw_mh,70,6.568456380461593e-14,2.3397725649018844e-14,10
uniform,rw_mh,75,5.5647528788802604e-14,1.4733151828772844e-14,10
uniform,rw_mh,80,7.349303830837612e-14,2.5259971554879923e-14,10
uniform,rw_mh,85,6.970122074088357e-14,2.198534347515325e-14,10
uniform,rw_mh,90,8.556659964941251e-14,2.695105061738185e-14,10
uniform,single_site_gibbs,40,0.12041455318369276,0.0376045016914779,10
uniform,single_site_gibbs,45,0.14946555775255893,0.11571243740338003,10
uniform,single_site_gibbs,50,0.19693445136618093,0.15727369715267608,10
uniform,single_site_gibbs,55,0.29519819771761757,0.13366324235396287,10
uniform,single_site_gibbs,60,0.2911970312345369,0.19653688179471163,10
uniform,single_site_gibbs,65,0.3061959352603224,0.14976930645782227,10
uniform,single_site_gibbs,70,0.24119554032677862,0.09654329324490701,10
uniform,single_site_gibbs,75,0.401685715219729,0.21134872786109968,10
uniform,single_site_gibbs,80,0.36120660815448874,0.1198231156024116,10
uniform,single_site_gibbs,85,0.33789758384961505,0.18630399410640872,10
uniform,single_site_gibbs,90,0.6869696416340558,0.30562627418898686,10
