observation_strategy,method,dimension,variance_rmse_mean,variance_rmse_std,n_runs
shallow,rw_mh,75,12.435709436186103,3.1533800355310677,10
shallow,rw_mh,80,13.775385403986718,2.8845321267211843,10
shallow,rw_mh,85,17.3315135743247,2.812201418394102,10
shallow,rw_mh,90,19.559610488451934,3.0097632633901044,10
shallow,single_site_gibbs,40,0.5729146200734733,0.17763733822014557,10
shallow,single_site_gibbs,45,0.5732544768201071,0.2320661425380813,10
shallow,single_site_gibbs,50,1.0301635536600338,0.43257365878760445,10
shallow,single_site_gibbs,55,1.2979579300691317,0.6515457342616434,10
shallow,single_site_gibbs,60,1.4310742319574488,0.6837502235234162,10
shallow,single_site_gibbs,65,1.7950134576818069,0.9513899212066359,10
shallow,single_site_gibbs,70,2.4243555344199597,1.2642680804222648,10
shallow,single_site_gibbs,75,2.9903489838435364,1.5364854754592507,10
shallow,single_site_gibbs,80,3.560073809674563,1.4472633834659019,10
shallow,single_site_gibbs,85,4.538835840660099,1.336364902104644,10
shallow,single_site_gibbs,90,5.715961995232189,2.184573101643795,10
uniform,block_gibbs,40,0.2748750934794086,0.2569952393383428,10
uniform,block_gibbs,45,0.30051324863016315,0.21851637922639483,10
uniform,block_gibbs,50,0.5755039358751008,0.46429180585081514,10
uniform,block_gibbs,55,0.5457307374800433,0.36221957073140404,10
uniform,block_gibbs,60,0.6615504639568531,0.4335497873897058,10
uniform,block_gibbs,65,1.2582560712198192,0.8396243224283353,10
uniform,block_gibbs,70,1.0482607016410839,0.5688636741926366,10
uniform,block_gibbs,75,1.5945613645685286,1.351336708281149,10
uniform,block_gibbs,80,1.8155375706162808,0.9902735916460673,10
uniform,block_gibbs,85,2.0489863181294856,1.2170098488379057,10
uniform,block_gibbs,90,2.865547787056295,1.4841867037420462,10
uniform,rw_mh,40,2.7280183292346134,1.09495226355092,10
uniform,rw_mh,45,3.0295238489100025,0.6939809826502684,10
uniform,rw_mh,50,4.653168083982072,2.0059079313257944,10
uniform,rw_mh,55,3.9434406942084195,1.3506043443147555,10
uniform,rw_mh,60,4.726224767378823,1.2244036326806198,10
uniform,rw_mh,65,6.096333730721597,2.8074492695158764,10
uniform,rw_mh,70,5.259668288472289,1.1801466860066736,10
uniform,rw_mh,75,7.8984919975689625,2.12074581425786,10
uniform,rw_mh,80,7.840061037729276,2.193756998793777,10
uniform,rw_mh,85,9.405089630824357,3.033283426517858,10
uniform,rw_mh,90,10.629525493084916,2.0877400475689383,10
uniform,single_site_gibbs,40,0.2447858866840565,0.141637059004867,10
uniform,single_site_gibbs,45,0.3288757647193338,0.20736036007857225,10
uniform,single_site_gibbs,50,0.45054258901785255,0.2165272329921237,10
uniform,single_site_gibbs,55,0.5332760652872455,0.3891797358459759,10
uniform,single_site_gibbs,60,0.6050026666637995,0.2766345144942184,10
uniform,single_site_gibbs,65,0.9684516042134794,0.6052005109401415,10
uniform,single_site_gibbs,70,0.7711326456601864,0.4893274925675046,10
uniform,single_site_gibbs,75,1.5758162181024333,0.6064430052923067,10
uniform,single_site_gibbs,80,2.3024623891743525,1.4068695026725804,10
uniform,single_site_gibbs,85,1.983818972959078,1.1448669224541417,10
uniform,single_site_gibbs,90,2.875010389042915,1.699232088501712,10
