observation_strategy,method,dimension,runtime_seconds_mean,runtime_seconds_std,n_runs
shallow,rw_mh,65,0.010676812403835357,0.00015187639985865008,10
shallow,rw_mh,70,0.010847841610666365,0.00018713132649112428,10
shallow,rw_mh,75,0.0109560246928595,5.451365955849351e-05,10
shallow,rw_mh,80,0.011218462407123297,6.5793764194475e-05,10
shallow,rw_mh,85,0.011663637502351776,0.00010455183298581205,10
shallow,rw_mh,90,0.011939008190529421,0.0001546302401726336,10
shallow,single_site_gibbs,40,0.13269719979725778,0.0012942385764127843,10
shallow,single_site_gibbs,45,0.14880815809592604,0.0008461833088217437,10
shallow,single_site_gibbs,50,0.1716663622937631,0.01414640770405293,10
shallow,single_site_gibbs,55,0.17999577909940853,0.0013001840876426271,10
shallow,single_site_gibbs,60,0.19688500820193439,0.0011432731234828194,10
shallow,single_site_gibbs,65,0.2281212917820085,0.04112729495955497,10
shallow,single_site_gibbs,70,0.22811601261491887,0.0030483559331557857,10
shallow,single_site_gibbs,75,0.24763792488374747,0.0015760665091089242,10
shallow,single_site_gibbs,80,0.2670134499145206,0.006772463300339129,10
shallow,single_site_gibbs,85,0.2838662624941207,0.001878535433554273,10
shallow,single_site_gibbs,90,0.3020009623782244,0.002906832582838117,10
uniform,block_gibbs,40,0.4472414709045552,0.0060233901634283845,10
uniform,block_gibbs,45,0.4640675585018471,0.005562888815828614,10
uniform,block_gibbs,50,0.4884751666977536,0.012754593633731088,10
uniform,block_gibbs,55,0.5029128124995623,0.007187556736522601,10
uniform,block_gibbs,60,0.5214700500073377,0.010240246455818726,10
uniform,block_gibbs,65,0.551586629106896,0.013454157502118588,10
uniform,block_gibbs,70,0.5717277414922137,0.018572803281841428,10
uniform,block_gibbs,75,0.5959626416908577,0.014428679239827501,10
uniform,block_gibbs,80,0.6140468915982638,0.011846176683385634,10
uniform,block_gibbs,85,0.6565668750961777,0.011381031111312877,10
uniform,block_gibbs,90,0.6803843124012928,0.014801796698142942,10
uniform,rw_mh,40,0.009967629192396998,7.683908992695541e-05,10
uniform,rw_mh,45,0.01007253328571096,0.00010371706828670547,10
uniform,rw_mh,50,0.010257925000041723,0.0002427368836257953,10
uniform,rw_mh,55,0.010395691479789092,0.0002263778732573683,10
uniform,rw_mh,60,0.010490424884483217,0.00010765567659422743,10
uniform,rw_mh,65,0.010674429091159255,0.00015647068905051695,10
uniform,rw_mh,70,0.010828966897679492,0.00023943796556536289,10
uniform,rw_mh,75,0.010931678995257243,9.282038736025491e-05,10
uniform,rw_mh,80,0.01123173750238493,0.00010600920028222565,10
uniform,rw_mh,85,0.011673041700851173,9.689822904846645e-05,10
uniform,rw_mh,90,0.011937966715777293,0.00011697903793065569,10
uniform,single_site_gibbs,40,0.13405930409790018,0.006082751320877508,10
uniform,single_site_gibbs,45,0.14924615840427577,0.00136420530772843,10
uniform,single_site_gibbs,50,0.16672668770188465,0.0009306764292892634,10
uniform,single_site_gibbs,55,0.18049235409707762,0.0007583344438173166,10
uniform,single_site_gibbs,60,0.19808670841157436,0.0016345950469783064,10
uniform,single_site_gibbs,65,0.21529456269927322,0.0014175677997850403,10
uniform,single_site_gibbs,70,0.22904475410468877,0.0032022407534863704,10
uniform,single_site_gibbs,75,0.24715799579280429,0.0030950605567635434,10
uniform,single_site_gibbs,80,0.26509326228988356,0.0012626570365467983,10
uniform,single_site_gibbs,85,0.28475349151412954,0.004956994457614117,10
uniform,single_site_gibbs,90,0.30167127929162235,0.0017977147531564824,10
