graph_type,method,repetition,dimension,depth,sparsity,correlation,observed_fraction,observation_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate
layered,single_site_gibbs,3,50,4,0.6,0.8,0.25,uniform,12,38,0.1666624589706771,134.5143275381175,14.619142523176258,518.4114140055356,0.17092049940397913,0.4424415597256101,8.776402157308583,
layered,block_gibbs,3,50,4,0.6,0.8,0.25,uniform,12,38,0.48311291699064896,153.9964842935204,33.75681005579796,552.9405268684459,0.3686835472523631,0.4727162573661453,7.564835122514849,
layered,rw_mh,3,50,4,0.6,0.8,0.25,uniform,12,38,0.01013366598635912,1.332445036642239,1.3324450366422385,1.3324450366422385,2.139285360876684e-14,3.9282737029239727,45.18667223573488,0.0
layered,single_site_gibbs,3,50,4,0.6,0.8,0.25,shallow,12,38,0.1657058330019936,78.82171107586399,21.28702783877096,394.4383073649719,0.09773302945359337,0.8995416376249494,16.98018904404328,
layered,block_gibbs,3,50,4,0.6,0.8,0.25,shallow,12,38,0.4782546249916777,118.78380929819387,37.81230594955197,579.0995161207793,0.4260410642041202,1.9971186694054783,31.288685686443035,
layered,rw_mh,3,50,4,0.6,0.8,0.25,shallow,12,38,0.010142041952349246,1.332445036642239,1.3324450366422385,1.3324450366422385,6.635880337064559e-14,6.235563826309882,74.82195049971085,0.0
layered,single_site_gibbs,3,55,4,0.6,0.8,0.25,deep,14,41,0.17991691699717194,189.5783506143362,61.58992636329808,572.2186780686069,0.10537828013091745,0.238798216143534,5.689684152128111,
layered,block_gibbs,3,55,4,0.6,0.8,0.25,deep,14,41,0.5044068330316804,274.5609626921033,49.08509952705872,1000.0,0.08344728783354363,0.2455825970489393,5.095235988588024,
layered,rw_mh,3,55,4,0.6,0.8,0.25,deep,14,41,0.010262458003126085,1.3324450366422385,1.3324450366422385,1.3324450366422385,3.646108294325101e-14,2.533009325233392,30.973636340822516,0.0
layered,single_site_gibbs,3,55,4,0.6,0.8,0.25,uniform,14,41,0.18009233399061486,122.56268773539328,15.139675368746047,623.6022814390557,0.3389663942443712,0.37176682207798234,8.456223321349768,
layered,block_gibbs,3,55,4,0.6,0.8,0.25,uniform,14,41,0.4965063339914195,154.27619678591864,19.744103714510803,691.722589871276,0.1893650689401135,0.5025074527806184,8.7645451584714,
layered,rw_mh,3,55,4,0.6,0.8,0.25,uniform,14,41,0.010248957958538085,1.3324450366422385,1.3324450366422385,1.3324450366422385,4.8301335673712355e-14,4.122359296349142,51.60272473263703,0.0
layered,single_site_gibbs,3,55,4,0.6,0.8,0.25,shallow,14,41,0.18036145804217085,45.177592219528314,9.117614247573094,440.8932231604603,0.840086179066488,1.7907916689637222,45.135567294437344,
layered,block_gibbs,3,55,4,0.6,0.8,0.25,shallow,14,41,0.48736879200441763,50.705351270433574,13.545822349024222,210.97623653298925,0.3287215764232475,2.6747681914555703,44.81905099022604,
layered,rw_mh,3,55,4,0.6,0.8,0.25,shallow,14,41,0.010236541973426938,1.3324450366422385,1.3324450366422385,1.3324450366422385,1.4772720248724832e-14,10.759200622602688,136.7883363963926,0.0
layered,single_site_gibbs,3,60,4,0.6,0.8,0.25,deep,15,45,0.1970895419945009,105.17584208436433,13.69205403641725,351.90200622790945,0.16722205413531366,0.3189412267153655,9.83331970513744,
