observation_strategy,method,correlation,variance_rmse_mean,variance_rmse_std,n_runs
shallow,rw_mh,0.85,1.9402116774009674,0.6959724844313254,10
shallow,single_site_gibbs,0.4,0.07520630989557124,0.008807880503740755,10
shallow,single_site_gibbs,0.45,0.07655422711868785,0.012234027202990086,10
shallow,single_site_gibbs,0.5,0.08564208378522678,0.011708366282947327,10
shallow,single_site_gibbs,0.55,0.09277940075548677,0.019727757430295437,10
shallow,single_site_gibbs,0.6,0.09330009497341554,0.01738727047781833,10
shallow,single_site_gibbs,0.65,0.09659272630962194,0.021905783614595494,10
shallow,single_site_gibbs,0.7,0.1420815519388732,0.07389495006815691,10
shallow,single_site_gibbs,0.75,0.13405280248969817,0.04114904968950083,10
shallow,single_site_gibbs,0.8,0.18946194842508712,0.04649704020442627,10
shallow,single_site_gibbs,0.85,0.20317145480097598,0.10767688605467977,10
uniform,block_gibbs,0.4,0.07611720481789588,0.009521734076432104,10
uniform,block_gibbs,0.45,0.07187232137221042,0.00860524203412836,10
uniform,block_gibbs,0.5,0.07304461634634675,0.01759790387680491,10
uniform,block_gibbs,0.55,0.0807527094091083,0.014453621717273685,10
uniform,block_gibbs,0.6,0.09156562132262287,0.017990465904867102,10
uniform,block_gibbs,0.65,0.10365866958446412,0.024547730461635373,10
uniform,block_gibbs,0.7,0.10958650342163323,0.026481334169606692,10
uniform,block_gibbs,0.75,0.1740492203098578,0.0723354884718957,10
uniform,block_gibbs,0.8,0.16409351435928615,0.051847188429186494,10
uniform,block_gibbs,0.85,0.16057764045306372,0.06198983982401576,10
uniform,rw_mh,0.4,0.5223011754130418,0.22113134914027452,10
uniform,rw_mh,0.45,0.5968292052858939,0.08663217926910302,10
uniform,rw_mh,0.5,0.6536958569748524,0.1306825096182068,10
uniform,rw_mh,0.55,0.6974734120781528,0.1987750701182028,10
uniform,rw_mh,0.6,0.863503977294531,0.2111257732623496,10
uniform,rw_mh,0.65,0.897982261649535,0.2315754214050473,10
uniform,rw_mh,0.7,0.9807450425211417,0.2873926219651925,10
uniform,rw_mh,0.75,1.5458286867305708,0.27693430394898877,10
uniform,rw_mh,0.8,1.4397139222610833,0.2836855770887126,10
uniform,rw_mh,0.85,1.6715030054492772,0.30295384302210526,10
uniform,single_site_gibbs,0.4,0.08218280250917968,0.01336508095030329,10
uniform,single_site_gibbs,0.45,0.07726379675537545,0.012619425461364263,10
uniform,single_site_gibbs,0.5,0.07631489377301218,0.014581830916663542,10
uniform,single_site_gibbs,0.55,0.08451473790632472,0.02028909427401957,10
uniform,single_site_gibbs,0.6,0.09785509224338221,0.016870413637046215,10
uniform,single_site_gibbs,0.65,0.11273337155359738,0.02949049181955594,10
uniform,single_site_gibbs,0.7,0.09640689968888569,0.02220696623285309,10
uniform,single_site_gibbs,0.75,0.1448627695004558,0.038467676769535795,10
uniform,single_site_gibbs,0.8,0.1595526374567179,0.07250483161346541,10
uniform,single_site_gibbs,0.85,0.2023156746929117,0.08595884996399573,10
