observation_strategy,method,correlation,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
shallow,block_gibbs,0.8,3.3708807427239584,0.8267859158603786,10
shallow,block_gibbs,0.85,4.110995822085578,1.7440089860479335,10
shallow,rw_mh,0.4,7.446995527474934,0.5047242307125451,10
shallow,rw_mh,0.45,9.756746772196303,2.4370510040615723,10
shallow,rw_mh,0.5,8.768197808307704,0.9577893907540153,10
shallow,rw_mh,0.55,9.24091948118236,0.8373930907273092,10
shallow,rw_mh,0.6,9.946175697930329,1.2398098863973517,10
shallow,rw_mh,0.65,10.942433003981945,1.629127512458906,10
shallow,rw_mh,0.7,13.008350411715018,2.6008999002182227,10
shallow,rw_mh,0.75,14.903512312782123,3.109725225765989,10
shallow,rw_mh,0.8,15.704070603920888,2.424587857432461,10
shallow,rw_mh,0.85,19.020169052680835,6.178793864108155,10
shallow,single_site_gibbs,0.4,1.5905621016185754,0.08031855241881992,10
shallow,single_site_gibbs,0.45,1.6521296650903128,0.13021861777765537,10
shallow,single_site_gibbs,0.5,1.7796879492199351,0.14656697196232613,10
shallow,single_site_gibbs,0.55,1.8567196606077776,0.24004175975169273,10
shallow,single_site_gibbs,0.6,1.983428105248271,0.2415813014867683,10
shallow,single_site_gibbs,0.65,2.1177684384277162,0.22459213671816664,10
shallow,single_site_gibbs,0.7,2.658480855370115,0.8739906451650625,10
shallow,single_site_gibbs,0.75,2.7940138748678387,0.545365562336114,10
shallow,single_site_gibbs,0.8,3.420813696129573,0.8125963179297212,10
shallow,single_site_gibbs,0.85,4.020451588044985,2.075622155498396,10
uniform,block_gibbs,0.4,1.5502438661456739,0.11186606924154378,10
uniform,block_gibbs,0.45,1.6158022395485336,0.08858353933907695,10
uniform,block_gibbs,0.5,1.5952513237091859,0.19651033195822218,10
uniform,block_gibbs,0.55,1.7432607382127703,0.1880482229224403,10
uniform,block_gibbs,0.6,1.8373098508064996,0.1898392264774747,10
uniform,block_gibbs,0.65,2.0916939111209345,0.310850565220645,10
uniform,block_gibbs,0.7,1.9966247469806262,0.33368290808743123,10
uniform,block_gibbs,0.75,3.07550316524639,1.1266433582255282,10
uniform,block_gibbs,0.8,2.872789449334205,0.6562708232812496,10
uniform,block_gibbs,0.85,2.8048135014727116,0.7328268695705619,10
uniform,rw_mh,0.4,8.523429555787757,1.8945170773667586,10
uniform,rw_mh,0.45,8.12842575914983,1.12162569717447,10
uniform,rw_mh,0.5,7.889414595617441,1.167766778815221,10
uniform,rw_mh,0.55,8.700534511266929,1.3568085068935531,10
uniform,rw_mh,0.6,8.99705667768608,0.7033863857389961,10
uniform,rw_mh,0.65,10.937091190502487,1.9160509678524953,10
uniform,rw_mh,0.7,10.151939952015017,1.3599010440118198,10
uniform,rw_mh,0.75,14.320154602676165,3.072191688015852,10
uniform,rw_mh,0.8,13.461162592210547,2.6112388892286154,10
uniform,rw_mh,0.85,14.97653014442553,1.860680152929843,10
uniform,single_site_gibbs,0.4,1.5741071546628054,0.09468334330188419,10
uniform,single_site_gibbs,0.45,1.6610542473250067,0.12520896852431404,10
uniform,single_site_gibbs,0.5,1.584476613499028,0.17757031248477365,10
uniform,single_site_gibbs,0.55,1.8169698112318673,0.22415953455226922,10
uniform,single_site_gibbs,0.6,1.9062594367135546,0.1986191581424986,10
uniform,single_site_gibbs,0.65,2.1632315899025665,0.4555964244445155,10
uniform,single_site_gibbs,0.7,2.0835162368409614,0.30370124012482347,10
uniform,single_site_gibbs,0.75,2.750877926618265,0.6808623438241012,10
uniform,single_site_gibbs,0.8,2.720263820038734,0.6522589552951026,10
uniform,single_site_gibbs,0.85,3.1168820891279525,0.9059075286882867,10
