observation_strategy,method,correlation,ess_mean_mean,ess_mean_std,n_runs
shallow,single_site_gibbs,0.55,310.6205361203094,33.52546755042614,10
shallow,single_site_gibbs,0.6,300.19440907898536,35.568720959368875,10
shallow,single_site_gibbs,0.65,266.0843520882819,33.74555839340936,10
shallow,single_site_gibbs,0.7,241.71044382319025,23.668580723503517,10
shallow,single_site_gibbs,0.75,198.72655534348502,41.468375063764626,10
shallow,single_site_gibbs,0.8,194.95611409535326,39.412684079600474,10
shallow,single_site_gibbs,0.85,177.40425567385367,39.40780384448897,10
uniform,block_gibbs,0.4,392.98642567606,16.18473750546101,10
uniform,block_gibbs,0.45,360.11105729485354,31.6599610607109,10
uniform,block_gibbs,0.5,358.33920816891157,28.86246341941177,10
uniform,block_gibbs,0.55,327.34860025823906,26.766004458889245,10
uniform,block_gibbs,0.6,300.4473084609666,16.51355784924404,10
uniform,block_gibbs,0.65,256.9163462109098,38.31724950570198,10
uniform,block_gibbs,0.7,277.367387558845,22.779399505502806,10
uniform,block_gibbs,0.75,207.82893254510122,39.178132140200944,10
uniform,block_gibbs,0.8,214.2320182195208,48.70750024139108,10
uniform,block_gibbs,0.85,194.72913083869884,31.73543292104474,10
uniform,rw_mh,0.4,11.04091221684333,1.8608114868429253,10
uniform,rw_mh,0.45,10.567533873337165,1.171278876203316,10
uniform,rw_mh,0.5,9.780968179550253,0.6884697828861223,10
uniform,rw_mh,0.55,10.451805460992587,1.4992987194319936,10
uniform,rw_mh,0.6,8.998755045909093,1.2269680794512987,10
uniform,rw_mh,0.65,8.716131273531811,0.8333922701936448,10
uniform,rw_mh,0.7,8.238457610237804,2.7854565945105803,10
uniform,rw_mh,0.75,10.884792820038147,5.605148084530437,10
uniform,rw_mh,0.8,15.040771625681874,18.892627388006495,10
uniform,rw_mh,0.85,5.246540489145831,2.8444086999360114,10
uniform,single_site_gibbs,0.4,386.19183872937117,21.98559308052273,10
uniform,single_site_gibbs,0.45,355.7752564980914,22.56021970078886,10
uniform,single_site_gibbs,0.5,351.1553322213884,37.607869345904554,10
uniform,single_site_gibbs,0.55,321.4614963147966,33.85061981217063,10
uniform,single_site_gibbs,0.6,293.1048783816321,30.895323554520925,10
uniform,single_site_gibbs,0.65,245.6485935161555,32.566843390034975,10
uniform,single_site_gibbs,0.7,270.1470018983284,17.225681502455448,10
uniform,single_site_gibbs,0.75,205.80778249769205,40.271063555208755,10
uniform,single_site_gibbs,0.8,210.37355349575554,44.84805006958559,10
uniform,single_site_gibbs,0.85,188.8641622419802,32.24763106660113,10
