observation_strategy,method,correlation,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
shallow,rw_mh,0.95,49.57498890742849,17.533034094500614,10
shallow,rw_mh,1.0,67.1753581439964,22.016452253275016,10
shallow,rw_mh,1.05,83.22081212955082,24.554643084807342,10
shallow,rw_mh,1.1,119.77461743116612,39.26321136646648,10
shallow,rw_mh,1.15,105.11784391929253,37.00103649152332,10
shallow,rw_mh,1.2,135.11960446706905,50.135535928745924,10
shallow,rw_mh,1.25,188.01327007614788,61.91006793839613,10
shallow,single_site_gibbs,0.7,3.21215092113963,1.1742786993137053,10
shallow,single_site_gibbs,0.75,4.720717466098689,0.7603342623492768,10
shallow,single_site_gibbs,0.8,5.773396433210637,3.112967747191553,10
shallow,single_site_gibbs,0.85,8.54779357594384,6.150521111223775,10
shallow,single_site_gibbs,0.9,11.37443074670323,6.179346787827652,10
shallow,single_site_gibbs,0.95,15.381648537696424,18.307943061622524,10
shallow,single_site_gibbs,1.0,12.842799217326766,6.145836100833097,10
shallow,single_site_gibbs,1.05,22.16979810978888,10.658506448260637,10
shallow,single_site_gibbs,1.1,45.44592641081623,33.36760696121893,10
shallow,single_site_gibbs,1.15,40.19464030177405,28.488591236847576,10
shallow,single_site_gibbs,1.2,43.144740319626564,19.628464963239757,10
shallow,single_site_gibbs,1.25,69.17942891255429,26.874221407037574,10
uniform,block_gibbs,0.7,2.2989676116804416,0.9036304010043701,10
uniform,block_gibbs,0.75,3.833211082055674,1.8308973558774042,10
uniform,block_gibbs,0.8,4.107105744727605,2.545993201237558,10
uniform,block_gibbs,0.85,8.488066224891705,5.237790858379641,10
uniform,block_gibbs,0.9,8.940786616490541,7.17948590829189,10
uniform,block_gibbs,0.95,4.5376809726337655,2.13116148705691,10
uniform,block_gibbs,1.0,10.076766258306147,6.280941399827433,10
uniform,block_gibbs,1.05,14.196351885428069,8.894004408748563,10
uniform,block_gibbs,1.1,19.185684328813124,27.236533234599317,10
uniform,block_gibbs,1.15,11.577805421935405,8.601825488420527,10
uniform,block_gibbs,1.2,23.737958879753545,19.017793618604394,10
uniform,block_gibbs,1.25,21.72472392071927,20.308409846901217,10
uniform,rw_mh,0.7,15.974719403218305,5.5456708965849595,10
uniform,rw_mh,0.75,22.91345085286746,4.771574019248789,10
uniform,rw_mh,0.8,24.045416370131278,6.727946709676345,10
uniform,rw_mh,0.85,34.6367689038363,7.528450151196915,10
uniform,rw_mh,0.9,39.72972795429568,15.23903578927262,10
uniform,rw_mh,0.95,28.76712930851712,12.044148522463132,10
uniform,rw_mh,1.0,44.25493967788358,21.20061035564048,10
uniform,rw_mh,1.05,61.0671021891997,20.492746182365398,10
uniform,rw_mh,1.1,61.13261569119702,41.66509318674776,10
uniform,rw_mh,1.15,60.45794331597208,27.03079660788929,10
uniform,rw_mh,1.2,80.77768725630793,31.664387367810747,10
uniform,rw_mh,1.25,85.38582269195211,45.859435732831784,10
uniform,single_site_gibbs,0.7,2.361061422403029,0.8591951168178864,10
uniform,single_site_gibbs,0.75,4.823763789256465,4.4584350323107005,10
uniform,single_site_gibbs,0.8,3.744734302143697,1.2592217239332801,10
uniform,single_site_gibbs,0.85,5.750404578609038,2.177031455547729,10
uniform,single_site_gibbs,0.9,8.470403662435121,6.680535565254512,10
uniform,single_site_gibbs,0.95,4.918474166871034,3.013530129562622,10
uniform,single_site_gibbs,1.0,8.238189275511846,7.077662595202288,10
uniform,single_site_gibbs,1.05,16.031421564630033,10.049324017967304,10
