observation_strategy,method,correlation,ess_mean_mean,ess_mean_std,n_runs
shallow,rw_mh,0.95,4.7066141042492236,3.666483496906427,10
shallow,rw_mh,1.0,2.2904586522684367,2.070950958358554,10
shallow,rw_mh,1.05,8.295175631302222,13.907660867185074,10
shallow,rw_mh,1.1,7.990228736397955,14.035840439980456,10
shallow,rw_mh,1.15,9.163972089329755,13.90740560405794,10
shallow,rw_mh,1.2,14.648012436153673,17.190323594536725,10
shallow,rw_mh,1.25,7.990228736397955,14.035840439980456,10
shallow,single_site_gibbs,0.7,268.8441108753128,48.68314959246927,10
shallow,single_site_gibbs,0.75,194.1736108851955,36.7102394630624,10
shallow,single_site_gibbs,0.8,167.67708939949932,60.01562993898885,10
shallow,single_site_gibbs,0.85,156.47826934676368,70.06744474452901,10
shallow,single_site_gibbs,0.9,123.12506195444921,27.173824659220713,10
shallow,single_site_gibbs,0.95,127.61592553797634,52.06060566848134,10
shallow,single_site_gibbs,1.0,92.46555680657939,30.225207640549407,10
shallow,single_site_gibbs,1.05,81.44813499435,30.305275008170618,10
shallow,single_site_gibbs,1.1,68.27172557970457,47.152672520307455,10
shallow,single_site_gibbs,1.15,58.65784741152936,33.57226886796613,10
shallow,single_site_gibbs,1.2,57.30167743115502,28.01838939481329,10
shallow,single_site_gibbs,1.25,56.779970232799066,12.97949316189008,10
uniform,block_gibbs,0.7,355.2542479847229,79.00534362169508,10
uniform,block_gibbs,0.75,239.88462990452553,52.924354587279616,10
uniform,block_gibbs,0.8,266.1124627927846,54.95764164041899,10
uniform,block_gibbs,0.85,197.7962189542633,43.18214905044422,10
uniform,block_gibbs,0.9,194.8994405113023,59.88912936475189,10
uniform,block_gibbs,0.95,238.2954884475169,59.8589059718728,10
uniform,block_gibbs,1.0,192.1177821508649,80.81170955969992,10
uniform,block_gibbs,1.05,135.07426305433643,50.18908385397863,10
uniform,block_gibbs,1.1,172.28176526473752,52.582705477490364,10
uniform,block_gibbs,1.15,148.84337318974318,64.45846410765836,10
uniform,block_gibbs,1.2,137.20808416882033,79.14599755492813,10
uniform,block_gibbs,1.25,98.53669291428619,44.919769501811,10
uniform,rw_mh,0.7,8.961514459060885,3.141612129863687,10
uniform,rw_mh,0.75,11.65805498435536,8.764690648888722,10
uniform,rw_mh,0.8,7.2888671944302645,10.343230754380516,10
uniform,rw_mh,0.85,7.581316640474297,9.987172684576132,10
uniform,rw_mh,0.9,5.201597458983396,10.408884282728176,10
uniform,rw_mh,0.95,8.530091698881224,13.85395337366986,10
uniform,rw_mh,1.0,4.661336886520097,10.52688032998534,10
uniform,rw_mh,1.05,1.332445036642239,0.0,10
uniform,rw_mh,1.1,8.748509636036117,13.839649323144076,10
uniform,rw_mh,1.15,4.949248613549507,10.464908185269772,10
uniform,rw_mh,1.2,4.661336886520097,10.52688032998534,10
uniform,rw_mh,1.25,5.361661747356743,10.513756664854224,10
uniform,single_site_gibbs,0.7,339.28090446931594,71.03841270684465,10
uniform,single_site_gibbs,0.75,217.3887791972,50.01626810375054,10
uniform,single_site_gibbs,0.8,241.3424990983808,38.72962333771674,10
uniform,single_site_gibbs,0.85,175.38231113971165,35.189722334295155,10
uniform,single_site_gibbs,0.9,163.81949299689222,60.28618638012579,10
uniform,single_site_gibbs,0.95,176.10325767823093,44.32863464848094,10
uniform,single_site_gibbs,1.0,152.38037608647815,63.54663892571279,10
uniform,single_site_gibbs,1.05,111.9210443195386,34.800941567834364,10
uniform,single_site_gibbs,1.1,123.2449473390457,44.222753056964336,10
uniform,single_site_gibbs,1.15,105.18269578950576,43.43791631183075,10
uniform,single_site_gibbs,1.2,97.77373087716285,42.61443380051583,10
uniform,single_site_gibbs,1.25,77.01535437290877,23.53972718811868,10
