observation_strategy,method,correlation,runtime_seconds_mean,runtime_seconds_std,n_runs
shallow,rw_mh,1.25,0.009872404200723394,5.331356561305642e-05,10
shallow,single_site_gibbs,0.7,0.13202343320008367,0.0012229427957673345,10
shallow,single_site_gibbs,0.75,0.13206943760742434,0.00137031365839166,10
shallow,single_site_gibbs,0.8,0.13510928329778835,0.010559503418105382,10
shallow,single_site_gibbs,0.85,0.13171885000774636,0.0015653366282175427,10
shallow,single_site_gibbs,0.9,0.13116218729992396,0.0008215723917089148,10
shallow,single_site_gibbs,0.95,0.13133754561422392,0.0014434877392000567,10
shallow,single_site_gibbs,1.0,0.13406513761146926,0.009231350785572662,10
shallow,single_site_gibbs,1.05,0.130925795895746,0.0012752518219041893,10
shallow,single_site_gibbs,1.1,0.14117488728952593,0.027885499390043967,10
shallow,single_site_gibbs,1.15,0.1326707498927135,0.005395406121306538,10
shallow,single_site_gibbs,1.2,0.1310649458086118,0.0014788433796966384,10
shallow,single_site_gibbs,1.25,0.13090179169666954,0.0012993447562869038,10
uniform,block_gibbs,0.7,0.45836780829704366,0.008414055237450573,10
uniform,block_gibbs,0.75,0.4630266707856208,0.03207722331202309,10
uniform,block_gibbs,0.8,0.46145867930026724,0.02033380326495965,10
uniform,block_gibbs,0.85,0.4557555250939913,0.01223019639901124,10
uniform,block_gibbs,0.9,0.45413125419872813,0.013586981702098462,10
uniform,block_gibbs,0.95,0.45421105848508886,0.006819234994985366,10
uniform,block_gibbs,1.0,0.4562882167112548,0.014861337175608658,10
uniform,block_gibbs,1.05,0.4503683585033286,0.0054115537892956995,10
uniform,block_gibbs,1.1,0.451837545708986,0.006814496781276453,10
uniform,block_gibbs,1.15,0.45813045018585397,0.009446540251237158,10
uniform,block_gibbs,1.2,0.45102671649656256,0.005652454593090109,10
uniform,block_gibbs,1.25,0.4512741584039759,0.004909546984651413,10
uniform,rw_mh,0.7,0.01003896669135429,0.00014366524070312647,10
uniform,rw_mh,0.75,0.010850333399139345,0.002644195933723211,10
uniform,rw_mh,0.8,0.010419754189206288,0.001228298994470085,10
uniform,rw_mh,0.85,0.00994907079730183,8.515521479753885e-05,10
uniform,rw_mh,0.9,0.009948387602344155,0.00011516598414420412,10
uniform,rw_mh,0.95,0.009958695794921368,4.4403090156981864e-05,10
uniform,rw_mh,1.0,0.010049445607000962,0.00029882102341836973,10
uniform,rw_mh,1.05,0.009957425005268306,0.00015881925101570354,10
uniform,rw_mh,1.1,0.010902699991129338,0.0021785759275421007,10
uniform,rw_mh,1.15,0.009999950003111735,0.00020418417949893757,10
uniform,rw_mh,1.2,0.00990874990238808,0.00010787616237792069,10
uniform,rw_mh,1.25,0.009912008297396824,0.0001464350396229531,10
uniform,single_site_gibbs,0.7,0.13185569990309887,0.0011378735710782276,10
uniform,single_site_gibbs,0.75,0.13619455800508148,0.016957066941093512,10
uniform,single_site_gibbs,0.8,0.1316041291982401,0.001172315730990391,10
uniform,single_site_gibbs,0.85,0.13208109568804502,0.0020124246383605377,10
uniform,single_site_gibbs,0.9,0.13144647080334834,0.0017340552389587818,10
uniform,single_site_gibbs,0.95,0.13108032479067333,0.0016889762555933644,10
uniform,single_site_gibbs,1.0,0.13634699179092422,0.013206347202259877,10
uniform,single_site_gibbs,1.05,0.13146629168768414,0.0008799358622390831,10
uniform,single_site_gibbs,1.1,0.13171667060814798,0.003030336554705052,10
uniform,single_site_gibbs,1.15,0.1357204000989441,0.015487921254910525,10
uniform,single_site_gibbs,1.2,0.13103813759516925,0.0012320151588070618,10
uniform,single_site_gibbs,1.25,0.1303320041974075,0.0010365526375657275,10
