observation_strategy,method,correlation,mean_rmse_mean,mean_rmse_std,n_runs
shallow,block_gibbs,0.8,0.16893907898250915,0.10368820699340883,10
shallow,block_gibbs,0.85,0.202095307508934,0.1077011303720877,10
shallow,block_gibbs,0.9,0.24424903946181314,0.08524382830977527,10
shallow,block_gibbs,0.95,0.25523158907494603,0.11104889255379326,10
shallow,block_gibbs,1.0,0.3861391564526812,0.1341147840258295,10
shallow,block_gibbs,1.05,0.31779909822160846,0.15588401850600464,10
shallow,block_gibbs,1.1,0.5946342300532845,0.35641018289476634,10
shallow,block_gibbs,1.15,0.4748737565706974,0.33557341182234074,10
shallow,block_gibbs,1.2,0.7008662565348348,0.5318746944942786,10
shallow,block_gibbs,1.25,0.8741207241940587,0.4071356293774971,10
shallow,rw_mh,0.7,0.46411985783731674,0.2912469719806321,10
shallow,rw_mh,0.75,0.5360250536444603,0.2807227276911826,10
shallow,rw_mh,0.8,0.24041670255121952,0.25661199912917376,10
shallow,rw_mh,0.85,0.180988289522192,0.2097890636854181,10
shallow,rw_mh,0.9,0.2647498044920534,0.32411023116905185,10
shallow,rw_mh,0.95,0.19976688910761703,0.2268348995197431,10
shallow,rw_mh,1.0,0.06661267751888056,0.14074105510529022,10
shallow,rw_mh,1.05,0.03449184240736285,0.1090727827026935,10
shallow,rw_mh,1.1,4.533398174545012e-14,2.0466550423065756e-14,10
shallow,rw_mh,1.15,0.05961355993764591,0.17691042875076868,10
shallow,rw_mh,1.2,7.286835142599891e-14,3.264186883326985e-14,10
shallow,rw_mh,1.25,7.437210294847069e-14,4.9947231827234146e-14,10
shallow,single_site_gibbs,0.7,0.08425616556659521,0.022632293516743195,10
shallow,single_site_gibbs,0.75,0.14044423164304173,0.07175454284067273,10
shallow,single_site_gibbs,0.8,0.16555309996021675,0.07964557866984387,10
shallow,single_site_gibbs,0.85,0.1707861109680529,0.0801526395406615,10
shallow,single_site_gibbs,0.9,0.2094367152576606,0.09588339156412753,10
shallow,single_site_gibbs,0.95,0.2085620213853443,0.17988644366896117,10
shallow,single_site_gibbs,1.0,0.2456941634048782,0.10307140797004899,10
shallow,single_site_gibbs,1.05,0.4274050088461519,0.29007836357260125,10
shallow,single_site_gibbs,1.1,0.6445439228966195,0.4259664556302551,10
shallow,single_site_gibbs,1.15,0.573344851898105,0.26404658592262603,10
shallow,single_site_gibbs,1.2,0.8268356159591604,0.6693877139254533,10
shallow,single_site_gibbs,1.25,0.6592478000792932,0.419346052376273,10
uniform,block_gibbs,0.7,0.08105902107818155,0.0391993208059221,10
uniform,block_gibbs,0.75,0.11692266029667917,0.07871266151711406,10
uniform,block_gibbs,0.8,0.12157886293901536,0.09351056082572282,10
uniform,block_gibbs,0.85,0.13658639116934512,0.04693805760794687,10
uniform,block_gibbs,0.9,0.16966707743439205,0.11772009898797815,10
uniform,block_gibbs,0.95,0.14796456718641557,0.09856555784928223,10
uniform,block_gibbs,1.0,0.18048515005341334,0.10434832333601034,10
uniform,block_gibbs,1.05,0.2891983690382488,0.16302225651381066,10
uniform,block_gibbs,1.1,0.2213380495029368,0.10664161649648791,10
uniform,block_gibbs,1.15,0.2289314763374642,0.17258617717657257,10
uniform,block_gibbs,1.2,0.4691726084168863,0.3215997420150405,10
uniform,block_gibbs,1.25,0.44551168933043045,0.2839927623394041,10
uniform,rw_mh,0.7,0.40406468402733353,0.2603033497932619,10
uniform,rw_mh,0.75,0.3156297907176095,0.31290320743387684,10
uniform,rw_mh,0.8,0.14415291801682684,0.2694964263171683,10
uniform,rw_mh,0.85,0.13282202585349753,0.16618765457878135,10
uniform,rw_mh,0.9,0.02812929165935844,0.06640897131132685,10
uniform,rw_mh,0.95,0.05563242028822796,0.17592515985843166,10
uniform,rw_mh,1.0,4.028133082109239e-14,2.0655834789263833e-14,10
uniform,rw_mh,1.05,5.048022227808691e-14,2.845219090324489e-14,10
uniform,rw_mh,1.1,0.010178426304814204,0.032187010119220025,10
uniform,rw_mh,1.15,0.025868241428273858,0.0818025619762991,10
uniform,rw_mh,1.2,6.7336017468154e-14,1.8403942751558746e-14,10
uniform,rw_mh,1.25,0.0047348254743599764,0.014972832822180551,10
uniform,single_site_gibbs,0.7,0.07682198171376367,0.030632042497338266,10
uniform,single_site_gibbs,0.75,0.12144078281641002,0.05489074501074983,10
uniform,single_site_gibbs,0.8,0.09846368398218697,0.043825235870470276,10
uniform,single_site_gibbs,0.85,0.17357245884548836,0.13485929646696113,10
uniform,single_site_gibbs,0.9,0.14187256785281377,0.10415235681492502,10
uniform,single_site_gibbs,0.95,0.12201500111795176,0.06153672245725714,10
uniform,single_site_gibbs,1.0,0.19401870866101922,0.1468684637090214,10
uniform,single_site_gibbs,1.05,0.2926272344869757,0.1599198274749744,10
uniform,single_site_gibbs,1.1,0.3325538152079833,0.3010674691453546,10
uniform,single_site_gibbs,1.15,0.39130471639735814,0.218882882319161,10
uniform,single_site_gibbs,1.2,0.5268833734359013,0.28235991645997305,10
uniform,single_site_gibbs,1.25,0.4010548046235235,0.23428703313501142,10
